project_id,name,project_code,current_operation_strategy,target_operation_strategy,action,reason,other_system_id,legacy_project_id,project_environment
860,崴和路一标段,PRJ260861,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:崴和路一标段,崴和路一标段,legacy_scbs_project_fact
861,成都市龙泉驿区同安中学校光环境改造项目,PRJ260862,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:成都市龙泉驿区同安中学校光环境改造项目,成都市龙泉驿区同安中学校光环境改造项目,legacy_scbs_project_fact
862,旌阳区2025年老旧小区改造-包1,PRJ260863,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:旌阳区2025年老旧小区改造-包1,旌阳区2025年老旧小区改造-包1,legacy_scbs_project_fact
863,成都市龙泉驿区人行道维修整治提升,PRJ260864,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:成都市龙泉驿区人行道维修整治提升,成都市龙泉驿区人行道维修整治提升,legacy_scbs_project_fact
864,旌北新区（龙泉山路）雨水管网项目,PRJ260865,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:旌北新区（龙泉山路）雨水管网项目,旌北新区（龙泉山路）雨水管网项目,legacy_scbs_project_fact
865,柏隆粮油园区项目,PRJ260866,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:柏隆粮油园区项目,柏隆粮油园区项目,legacy_scbs_project_fact
866,中江驾考校,PRJ260867,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:中江驾考校,中江驾考校,legacy_scbs_project_fact
867,蓥华山路道路工程-包2,PRJ260868,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:蓥华山路道路工程-包2,蓥华山路道路工程-包2,legacy_scbs_project_fact
868,旌阳区供水项目(柏隆水厂及管网）,PRJ260869,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:旌阳区供水项目(柏隆水厂及管网）,旌阳区供水项目(柏隆水厂及管网）,legacy_scbs_project_fact
869,SCBS未指定项目 - 四川晟博通达商贸有限公司,PRJ260870,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:BASE_SYSTEM_PROJECT:306434aba43f4128b4ab6d8a6b289674,SCBS:BASE_SYSTEM_PROJECT:306434aba43f4128b4ab6d8a6b289674,legacy_scbs_base_system_unspecified_project
870,SCBS未指定项目 - 四川鑫垚建筑劳务有限公司,PRJ260871,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:BASE_SYSTEM_PROJECT:b8bc05aace5149f2af36878e9c030f4c,SCBS:BASE_SYSTEM_PROJECT:b8bc05aace5149f2af36878e9c030f4c,legacy_scbs_base_system_unspecified_project
871,SCBS未指定项目 - 德阳市博众建材销售有限公司,PRJ260872,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:BASE_SYSTEM_PROJECT:88ca50467a784725aa4b42467b549e21,SCBS:BASE_SYSTEM_PROJECT:88ca50467a784725aa4b42467b549e21,legacy_scbs_base_system_unspecified_project
872,SCBS未指定项目 - 四川宏政嘉斯建筑工程有限公司,PRJ260873,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:BASE_SYSTEM_PROJECT:ad4866a0a8a24b629a87165d98be5948,SCBS:BASE_SYSTEM_PROJECT:ad4866a0a8a24b629a87165d98be5948,legacy_scbs_base_system_unspecified_project
873,SCBS未指定项目 - 德阳泰诚硕商贸有限公司,PRJ260874,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,SCBS:BASE_SYSTEM_PROJECT:95f1fe93331842488d5469ad771a1543,legacy_scbs_base_system_unspecified_project
874,SCBS未指定项目 - 四川迈投建筑工程有限公司,PRJ260875,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:BASE_SYSTEM_PROJECT:547603a871bd42c5b19681683626a314,SCBS:BASE_SYSTEM_PROJECT:547603a871bd42c5b19681683626a314,legacy_scbs_base_system_unspecified_project
875,SCBS未指定项目 - 四川世旺鑫润商贸有限公司,PRJ260876,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,SCBS:BASE_SYSTEM_PROJECT:af1d4b6f50504cfd9c6b0b13065fecff,legacy_scbs_base_system_unspecified_project
876,SCBS未指定项目 - 四川翔驰恒瑞商贸有限公司,PRJ260877,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:BASE_SYSTEM_PROJECT:fa8bdd0d90aa4585bf8c27011d01b6d5,SCBS:BASE_SYSTEM_PROJECT:fa8bdd0d90aa4585bf8c27011d01b6d5,legacy_scbs_base_system_unspecified_project
877,SCBS未指定项目 - 德阳经开区铭杨建材经营部,PRJ260878,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:BASE_SYSTEM_PROJECT:9d7276ef170d4b6f88f33c04fad1c1ce,SCBS:BASE_SYSTEM_PROJECT:9d7276ef170d4b6f88f33c04fad1c1ce,legacy_scbs_base_system_unspecified_project
878,SCBS未指定项目 - 德阳市区永沁建材经营部,PRJ260879,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:BASE_SYSTEM_PROJECT:6a17ac64b1ac4b619e39abbff3effd4b,SCBS:BASE_SYSTEM_PROJECT:6a17ac64b1ac4b619e39abbff3effd4b,legacy_scbs_base_system_unspecified_project
879,SCBS未指定项目 - 四川宏川建筑劳务有限公司,PRJ260880,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:BASE_SYSTEM_PROJECT:8e63129abde54614ae66ef7df8f91046,SCBS:BASE_SYSTEM_PROJECT:8e63129abde54614ae66ef7df8f91046,legacy_scbs_base_system_unspecified_project
880,SCBS未指定项目 - 德阳森元路面工程有限公司,PRJ260881,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:BASE_SYSTEM_PROJECT:0d7cd766eb9f4d23b53761e593148e25,SCBS:BASE_SYSTEM_PROJECT:0d7cd766eb9f4d23b53761e593148e25,legacy_scbs_base_system_unspecified_project
881,SCBS未指定项目 - 德阳市区海旺建材经营部,PRJ260882,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:BASE_SYSTEM_PROJECT:cc1e418e1efa4caeb4a374a05ec20f4a,SCBS:BASE_SYSTEM_PROJECT:cc1e418e1efa4caeb4a374a05ec20f4a,legacy_scbs_base_system_unspecified_project
882,SCBS未指定项目 - 德阳经开区科纳机械租赁部,PRJ260883,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:BASE_SYSTEM_PROJECT:dc02610d76d441c1b74ad9e9b878d598,SCBS:BASE_SYSTEM_PROJECT:dc02610d76d441c1b74ad9e9b878d598,legacy_scbs_base_system_unspecified_project
883,SCBS未指定项目 - 旌阳区加卓建筑材料经营部,PRJ260884,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:BASE_SYSTEM_PROJECT:ece713da76ed478e9db00944f170890a,SCBS:BASE_SYSTEM_PROJECT:ece713da76ed478e9db00944f170890a,legacy_scbs_base_system_unspecified_project
884,SCBS未指定项目 - 四川嘉易欢悦建筑工程有限公司,PRJ260885,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:BASE_SYSTEM_PROJECT:a5f4079846f345788536d81c916ef70f,SCBS:BASE_SYSTEM_PROJECT:a5f4079846f345788536d81c916ef70f,legacy_scbs_base_system_unspecified_project
885,SCBS未指定项目 - 旌阳区应木建材经营部,PRJ260886,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:BASE_SYSTEM_PROJECT:8f4479e608b845889bfd188dfb4b779e,SCBS:BASE_SYSTEM_PROJECT:8f4479e608b845889bfd188dfb4b779e,legacy_scbs_base_system_unspecified_project
886,SCBS未指定项目 - 旌阳区立扬伟建材经营部,PRJ260887,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:BASE_SYSTEM_PROJECT:759d2f80befb4d468cd8eeef7fcc1ffa,SCBS:BASE_SYSTEM_PROJECT:759d2f80befb4d468cd8eeef7fcc1ffa,legacy_scbs_base_system_unspecified_project
887,SCBS未指定项目 - 旌阳区宏裕辉建材经营部,PRJ260888,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:BASE_SYSTEM_PROJECT:fe64f2df81b04f6a8ffd510956a8a3f2,SCBS:BASE_SYSTEM_PROJECT:fe64f2df81b04f6a8ffd510956a8a3f2,legacy_scbs_base_system_unspecified_project
888,SCBS未指定项目 - 公司综合平台,PRJ260889,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:BASE_SYSTEM_PROJECT:fb0c4133-f011-44a4-a285-59cfd30aec27,SCBS:BASE_SYSTEM_PROJECT:fb0c4133-f011-44a4-a285-59cfd30aec27,legacy_scbs_base_system_unspecified_project
889,SCBS未指定项目 - 陕西煤业化工建设(集团)有限公司洗选煤运营分公司,PRJ260890,direct,direct,keep,scbs_imported_project_or_bucket,SCBS:BASE_SYSTEM_PROJECT:d00a9afe11eb4fbdae68af3300677669,SCBS:BASE_SYSTEM_PROJECT:d00a9afe11eb4fbdae68af3300677669,legacy_scbs_base_system_unspecified_project
1,德阳市罗江区鄢家镇高垭村山坪塘整治项目,PRJ260001,joint,joint,keep,existing_new_system_project,162253,00a4bb196d944fa5a8c56e3bd3f1e448,
2,石亭江-绵远河生态廊道场地平整工程,PRJ260002,joint,joint,keep,existing_new_system_project,109745,00c73f013e234461883beac337e8d75d,正式项目
3,渝数科技公司重庆数字大厦第6层办公用房装修改造项目,PRJ260003,joint,joint,keep,existing_new_system_project,109396,00db8d3baa894d1e8efd7acd181f6499,正式项目
4,德昌供港果蔬产业融合项目（测试）,PRJ260004,direct,joint,set,existing_new_system_project,,0182e913f9df48f0b39db2b059e3ee9b,legacy_contract_project_anchor
5,四川艺术职业学院消防隐患整治工程,PRJ260005,joint,joint,keep,existing_new_system_project,109506,0201344da1b74e008006a7a96f90be6f,正式项目
6,龙泉驿区2020年人行道整治提升工程（怡安路、合聚路、玉扬路）,PRJ260006,direct,joint,set,existing_new_system_project,109702,020eddc09afb4260a5843a84ee58d826,正式项目
7,成渝双城经济圈川渝高竹新区制造产业园及配套基础设施建设项目（L3-1线道路及配套工程劳务分包）,PRJ260007,joint,joint,keep,existing_new_system_project,109507,027c5b467ae94e52aabb6f6218d310d4,正式项目
8,剑阁县文化广电新闻出版局人才基地建设项目,PRJ260008,joint,joint,keep,existing_new_system_project,109812,02df67b4ddb6469b81ed551e9b544d25,正式项目
9,中江县仓山镇郪江桥梁工程,PRJ260009,joint,joint,keep,existing_new_system_project,109716,037fddc6219449c3840477989cc06f82,正式项目
10,工程部后油库油罐清洗,PRJ260010,joint,joint,keep,existing_new_system_project,178417,03f8997135504039a36557ec6e57909b,
11,中国移动四川公司2025-2027年全省汇聚机房土建工程施工集中采购项目（标包4-乐山分公司）框架协议-（TD）,PRJ260011,joint,joint,keep,existing_new_system_project,,045206e3bf2f49b6b6b544b1be1aff22,
12,喀什地区一市四县带动农户养殖喀什黑鸡基础设施建设项目-喀什市一期电力,PRJ260012,joint,joint,keep,existing_new_system_project,109359,04c36990cc144f04b8f2423c36e5f713,
13,中江公司变电检修班“工人先锋号”环境整治,PRJ260013,joint,joint,keep,existing_new_system_project,109703,04d0a65675424e41b8c65ba26ef48b4e,正式项目
14,2022年日常维护项目（竞标12）,PRJ260014,joint,joint,keep,existing_new_system_project,109474,05139ca820724561bee71e016b22fd55,正式项目
15,准环对称仿星器项目,PRJ260015,direct,joint,set,existing_new_system_project,191777,0550ea3a2e1b4161b25a697476e344b5,
16,T2A指廊机房挡水墙改造项目,PRJ260016,joint,joint,keep,existing_new_system_project,,057a6f0da95840a4975138b599d9dbbf,legacy_contract_project_anchor
17,ALC预制隔墙板供应及施工分包合同,PRJ260017,joint,joint,keep,existing_new_system_project,109622,059742d9ac094c018b91894306d5fc2d,正式项目
18,和田地区于田县高速公路10千伏线路迁改工程,PRJ260018,joint,joint,keep,existing_new_system_project,109570,069cd56871fd4307b836a3167fddf14b,正式项目
19,崴和路边坡滑坡治理,PRJ260019,joint,joint,keep,existing_new_system_project,,06c94694eb3e418bb4ceb5e55a987583,
20,白鹤花园修建建筑垃圾池,PRJ260020,joint,joint,keep,existing_new_system_project,191770,06cd855d5ede4a279a81568903836256,
21,西昌市佑君镇2019年站沟河整治、护堤墙砌筑工程,PRJ260021,joint,joint,keep,existing_new_system_project,,07016487cba94e3e8e09290c1becb3d0,legacy_contract_project_anchor
22,珠峰文化旅游创意产业园区基础设施项目一期工程第三标段,PRJ260022,joint,joint,keep,existing_new_system_project,109667,072425c9c9ad453eb60c137fd4215459,正式项目
23,中国移动四川西区二枢纽“车库改机房”土建工程,PRJ260023,joint,joint,keep,existing_new_system_project,109735,076d8bcae3064dca8927f4f629bf2356,正式项目
24,德阳市天府旌城石亭江河段堤防改建给水迁改工程,PRJ260024,joint,joint,keep,existing_new_system_project,115139,07e6484cc40d4609b0bcafcf187dd9af,
25,2017年公路水毁修复工程（双石镇）,PRJ260025,joint,joint,keep,existing_new_system_project,109681,080a2d8ee204424a8b7edd08817eee20,正式项目
26,西昌市安宁镇马坪坝幼儿园建设项目,PRJ260026,joint,joint,keep,existing_new_system_project,,083dc7e6eff54304a12207ffff366b91,legacy_contract_project_anchor
27,浪卡子县白地乡龙桑村水塘工程项目(1标段),PRJ260027,joint,joint,keep,existing_new_system_project,190048,088193c97f1443b58f1489b321c1288a,
28,德昌县宽裕镇花园村文化休闲广场,PRJ260028,joint,joint,keep,existing_new_system_project,109837,08ac2e586f574d39a3272852fa22bf71,正式项目
29,永川区卫星中型灌区续建配套与节水改造工程,PRJ260029,joint,joint,keep,existing_new_system_project,109492,08fa00e1bf9d4c88bcbfa652610aa347,正式项目
30,德阳市罗江区自来水公司2019年12月至2020年11月管网安装（抢修）零星土石方开挖恢复及用工等外包,PRJ260030,joint,joint,keep,existing_new_system_project,109750,092bc953078b42ab89b7a9d07fecab66,正式项目
31,林芝市财富阳光建设项目消防工程,PRJ260031,joint,joint,keep,existing_new_system_project,109688,09a62a54dcf645d6b7030d40fbdac1cb,正式项目
32,焙浸车间硫酸罐区防腐项目工程,PRJ260032,joint,joint,keep,existing_new_system_project,214321,09ba719dfd18431a951ec77d29ea6194,
33,中建天投天河区育新街南侧AT0304011-1地块项目,PRJ260033,direct,joint,set,existing_new_system_project,,0a098ceefc5046c380028104a3caa2af,正式项目
34,岳普湖县防沙治沙电力配套设施建设项目,PRJ260034,joint,joint,keep,existing_new_system_project,261151,0b3b88a05d6d454b9cbbe6b4c3c342d5,
35,公司综合管理平台,PRJ260035,direct,joint,set,existing_new_system_project,,0bb1dac8c9a94e39b421b3a619491c1f,
36,南川区S531西龙路K18+800-K27+230日常维修养护工程（换填、边沟）项目,PRJ260036,joint,joint,keep,existing_new_system_project,181031,0c028a6f51ea4e728448ce29b1e2eaab,
37,太行山路（钱塘江路-信江路）道路工程水泥稳定基层施工专业分包,PRJ260037,joint,joint,keep,existing_new_system_project,109654,0c4f914eee3547c185a2108fc1f768df,正式项目
38,二重厂西路（华山路-衡山路）等4条路砂石工程专业分包,PRJ260038,direct,joint,set,existing_new_system_project,109363,0c8c213e89204a6fb61a4c8ac79f0d4a,
39,何埂小学生化池及室外污水管网,PRJ260039,joint,joint,keep,existing_new_system_project,109583,0cdd82e96265456494a1de15f36c433e,正式项目
40,重庆文理学院2025年附属工程项目(不可预测的零星维修工程),PRJ260040,joint,joint,keep,existing_new_system_project,223773,0d21826a7ebb4dbfb7317338baaf57a0,
41,2025年西南石油工程公司钻前主体工程劳务框架招标（6标段：罗江、黄许等地区）项目,PRJ260041,joint,joint,keep,existing_new_system_project,212778,0dac2896cb43443eaaf4d5247683a40b,
42,巫山县大昌镇树木修剪及路灯更换服务合同,PRJ260042,joint,joint,keep,existing_new_system_project,109527,0db43c29f642442292d30f6b34c328a9,正式项目
43,53019工程、3644-3、4、3617消防工程,PRJ260043,joint,joint,keep,existing_new_system_project,109619,0dde523bf5414461b937c9d5d4c220cf,正式项目
44,绵阳金能集中办公室维修改造项目,PRJ260044,joint,joint,keep,existing_new_system_project,109510,0e04e445c6304b5f9e3b79ffdde72eb1,正式项目
45,2021年中江县辑庆镇尖寨村中药材园区四升五产村相融建设项目,PRJ260045,joint,joint,keep,existing_new_system_project,109549,0e4c810fe22644c399650bca0528898a,正式项目
46,绵竹市星旺大桥与货运通道连接匝道工程项目,PRJ260046,joint,joint,keep,existing_new_system_project,224475,0f314b7eb259455f8ad3bb3419f66957,
47,米易县南部新城市政道路及生态湿地公园PPP项目-湿地公园建设项目,PRJ260047,joint,joint,keep,existing_new_system_project,109718,0f3c19a871e446fc8cc9781f108d58e5,正式项目
48,旌阳区长江流域可持续发展（沱江上游-绵远河段）综合治理（4、5号地块地下室）（DYS2022-65）,PRJ260048,joint,joint,keep,existing_new_system_project,109480,0fe3fceb5f4b4c4fa5fae8527912fb93,正式项目
49,德阳市青少年宫舞蹈、钢琴、美术教室改造（二次）,PRJ260049,joint,joint,keep,existing_new_system_project,162252,102a738d1fee481fb215df95de82490c,
50,德阳市罗江区公路建设养护所2025农村公路维修,PRJ260050,joint,joint,keep,existing_new_system_project,238362,106e8ac916084f398b89d0a564f2473f,
51,龙泉山路与旌湖路交会处东北角土地围挡项目,PRJ260051,joint,joint,keep,existing_new_system_project,223771,108141059f724a008d2250d7c01449c8,
52,八角片区小街小巷道路改造工程,PRJ260052,joint,joint,keep,existing_new_system_project,,10dc84827e6643498328e1d5967a6a49,legacy_contract_project_anchor
53,古蔺双沙陈坪等3个村18年脱贫攻坚饮水项目,PRJ260053,joint,joint,keep,existing_new_system_project,109804,11e56ccc546e4532a323597457133e8c,正式项目
54,公司采购平台,PRJ260054,joint,joint,keep,existing_new_system_project,,12287d9ab206422a867790b51de38f40,legacy_contract_project_anchor
55,洛碛餐厨污水处理厂基础设施修复及零星工程项目,PRJ260055,joint,joint,keep,existing_new_system_project,163477,125f0ae46d734ad68124ddadc3d5eb19,
56,青龙工业园区雨污水管网应急修复项目,PRJ260056,joint,joint,keep,existing_new_system_project,109623,12bab8c00273463cae235c1615796bb3,正式项目
57,德阳市中心城区穿城堰、丁家堰、干河子、胜利堰四条黑臭水体整治工程青衣江路公园剩余工程,PRJ260057,joint,joint,keep,existing_new_system_project,109727,12dc2d35442c43f481d6e3880f8a306e,正式项目
58,开挖修复359机位消防主管道爆管项目,PRJ260058,joint,joint,keep,existing_new_system_project,109403,1357e63a4149468ea5b484a53ec1efa4,正式项目
59,德阳市中心城区穿城堰、丁家堰、干河子、胜利堰四条黑臭水体整治工程-劳务分包-穿城堰三标段,PRJ260059,joint,joint,keep,existing_new_system_project,109801,135be6807d2043619fde2b6efe531cf6,正式项目
60,中国移动四川公司成都分公司2023-2025年渠道维修采购项目框架协议,PRJ260060,joint,joint,keep,existing_new_system_project,109360,1375f96aeadd4e518c7b0574d3965a4b,
61,安宁新能源磷铁项目,PRJ260061,joint,joint,keep,existing_new_system_project,109409,1428742882bf4fc5988efcc289c8d5e8,正式项目
62,国网德阳供电公司综合中心建设场地平整工程（办公大楼恢复）,PRJ260062,joint,joint,keep,existing_new_system_project,109640,1496d77696814bca8ab7b5d1423b5d5f,正式项目
63,旌北13#、14#地块(德阳北站 TOD 及配套基础设施项目室外园林景观工程工程专业分包（大区）,PRJ260063,joint,joint,keep,existing_new_system_project,223775,14b62e4158d24596a0e04828e39362b5,
64,广东南华工商职业学院清远校区二期建设工程 （学生生活区、教学行政区）,PRJ260064,joint,joint,keep,existing_new_system_project,109433,14c4325bb56b408788e6f442f4384374,正式项目
65,广汉市郑州路东段雨污水管网工程,PRJ260065,joint,joint,keep,existing_new_system_project,109807,14fe0f48d2af4716b1b3b24f8a4286c8,正式项目
66,中国移动四川公司市州分公司2025年—2028年管理用房及生产枢纽楼公共区域零星维修项目的标包22 天府,PRJ260066,joint,joint,keep,existing_new_system_project,238993,1524f421b94c41698305394cf8691f44,
67,西昌卷烟厂2021年厂区环境改造工程综合经营业务用房配套设施改造标段,PRJ260067,direct,joint,set,existing_new_system_project,109512,152f26736dd64da29f1b4f494fcfef41,正式项目
68,万兴一品四组团区域景观土建工程,PRJ260068,joint,joint,keep,existing_new_system_project,,157aa481cc0d4a4e85a8a1220a668ec3,legacy_contract_project_anchor
