model,surface_lane,domain_group,status,group_count,semantic_group_count,unlabeled_group_count,notebook_count,page_count,projected_notebook_count,projected_semantic_group_count,native_chatter,attachments_enabled,timeline_enabled,collaboration_actions,classification,gaps
sc.fund.daily.summary,business_document,sc_other,ok,4,4,0,1,1,1,4,false,true,true,,contract_standardized,
sc.general.contract,business_document,sc_other,ok,7,7,0,1,1,0,7,true,true,true,,contract_standardized,
sc.hazard.source,business_document,sc_other,ok,4,4,0,1,3,0,4,true,true,true,,contract_standardized,
sc.history.todo,business_document,sc_other,ok,7,7,0,1,2,1,7,false,true,true,,contract_standardized,
sc.hr.payroll.document,business_document,sc_other,ok,10,10,0,1,1,0,10,true,true,true,,contract_standardized,
sc.invoice.category.summary,business_document,sc_other,ok,7,7,0,1,2,1,7,false,true,true,,contract_standardized,
sc.invoice.registration,business_document,sc_other,ok,7,7,0,1,3,1,7,true,true,true,,contract_standardized,
sc.login.route,business_document,sc_other,ok,2,2,0,1,2,0,2,false,true,true,,contract_standardized,
sc.office.admin.document,business_document,sc_other,ok,7,7,0,1,2,0,7,true,true,true,,contract_standardized,
sc.operating.metrics.project,business_document,sc_other,ok,10,10,0,1,3,1,10,false,true,true,,contract_standardized,
sc.partner.import.review,business_document,sc_other,ok,8,8,0,1,3,0,8,false,true,true,,contract_standardized,
sc.payment.execution,business_document,sc_other,ok,9,9,0,1,3,1,9,true,true,true,,contract_standardized,
sc.plan,business_document,sc_other,ok,4,4,0,1,6,0,4,true,true,true,,contract_standardized,
sc.plan.report,business_document,sc_other,ok,6,6,0,1,3,1,6,true,true,true,,contract_standardized,
sc.product.policy,business_document,sc_other,ok,3,3,0,1,3,0,3,false,true,true,,contract_standardized,
sc.project.document,business_document,sc_other,ok,3,3,0,1,2,0,3,true,true,true,,contract_standardized,
sc.project.stage.requirement.item,business_document,sc_other,ok,1,1,0,1,1,1,1,false,true,true,,contract_standardized,
sc.project.structure,business_document,sc_other,ok,3,3,0,1,2,1,3,false,true,true,,contract_standardized,
sc.receipt.income,business_document,sc_other,ok,8,8,0,1,3,1,8,true,true,true,,contract_standardized,
sc.receipt.invoice.line,business_document,sc_other,ok,6,6,0,1,3,1,6,false,true,true,,contract_standardized,
sc.release.action,business_document,sc_other,ok,3,3,0,1,4,0,3,false,true,true,,contract_standardized,
sc.risk.item,business_document,sc_other,ok,3,3,0,1,1,1,3,false,true,true,,contract_standardized,
sc.risk.library,business_document,sc_other,ok,1,1,0,1,2,1,1,false,true,true,,contract_standardized,
sc.salary.summary,business_document,sc_other,ok,4,4,0,1,2,1,4,false,true,true,,contract_standardized,
sc.settlement.adjustment,business_document,sc_other,ok,7,7,0,1,2,1,7,true,true,true,,contract_standardized,
sc.settlement.order,business_document,sc_other,ok,8,8,0,1,5,0,8,true,true,true,,contract_standardized,
sc.site.photo.batch,business_document,sc_other,ok,3,3,0,1,2,0,3,false,true,true,,contract_standardized,
sc.tax.deduction.registration,business_document,sc_other,ok,7,7,0,1,3,1,7,true,true,true,,contract_standardized,
sc.treasury.ledger,business_document,sc_other,ok,7,7,0,1,3,1,7,false,true,true,,contract_standardized,
sc.treasury.reconciliation,business_document,sc_other,ok,6,6,0,1,2,1,6,true,true,true,,contract_standardized,
sc.workflow.def,business_document,sc_other,ok,4,4,0,1,2,0,4,true,true,true,,contract_standardized,
sc.workflow.instance,business_document,sc_other,ok,3,3,0,1,2,0,3,true,true,true,,contract_standardized,
sc.workflow.node,business_document,sc_other,ok,3,3,0,1,1,1,3,false,true,true,,contract_standardized,
sc.subcontract.plan,business_document,subcontract,ok,4,4,0,1,3,0,4,true,true,true,,contract_standardized,
sc.subcontract.price,business_document,subcontract,ok,4,4,0,1,2,0,4,true,true,true,,contract_standardized,
sc.subcontract.register,business_document,subcontract,ok,4,4,0,1,4,0,4,true,true,true,,contract_standardized,
sc.subcontract.request,business_document,subcontract,ok,4,4,0,1,4,0,4,true,true,true,,contract_standardized,
sc.subcontract.settlement,business_document,subcontract,ok,4,4,0,1,3,0,4,true,true,true,,contract_standardized,
tender.bid,business_document,tender,ok,7,7,0,1,9,0,7,true,true,true,,contract_standardized,
tender.doc.purchase,business_document,tender,ok,10,10,0,1,3,1,10,false,true,true,,contract_standardized,
tender.guarantee,business_document,tender,ok,5,5,0,1,2,1,5,false,true,true,,contract_standardized,
tender.opening,business_document,tender,ok,5,5,0,1,3,1,5,false,true,true,,contract_standardized,
