contract_id,legacy_contract_id,legacy_document_no,legacy_contract_no,subject,amount,amount_source,previous_legacy_contract_amount,previous_amount_untaxed
3369,5990a2e83f954a319e6609965fe81dba,DYS2020-54-015-0727,GYSHT-20240403-002,材料合同,-1922550.0000,note.amount_trace,0.0,0.0
2783,3c44093670fd4e0c90e37c647b0539c0,DYS2020-54-017-0826,GYSHT-20240410-002,租赁合同,-8692882.2700,note.amount_trace,0.0,0.0
2303,24dfb63b32c94ff394f1efa237ac5744,dys-2020-54-004-0310,GYSHT-20240314-002,材料合同,-41483.9300,note.amount_trace,0.0,0.0
1555,0274a2b828484490989f99ca2919bb6b,DYS2020-54-009-0406,GYSHT-20240314-002,材料合同,-623834.5000,note.amount_trace,0.0,0.0
2952,44c5c5f147bc4e90b4a442194ddd2390,DYS2023-09-017-230320,GYSHT-20240131-001,材料合同,-83846.1000,note.amount_trace,0.0,0.0
6528,f488b1335842487c889e164ca4f95f6d,DYS 2022-99-005-2-0215,GYSHT-20231114-003,材料合同,-32282.0000,note.amount_trace,0.0,0.0
6164,e23d96093e3646ba80ae4a250be4f999,DYS2022-99-006-260319（结算单）,GYSHT-20260319-003,材料合同,-470560.0000,note.amount_trace,0.0,0.0
6147,e16ecaeda4bd48fd90cf55dafff31256,DYS 2022-99-002-260319（结算单）,GYSHT-20260319-005,材料合同,-24024.5000,note.amount_trace,0.0,0.0
5390,bd78e0d6a9cf47108b0bf98ed7cc3ef0,DYS2022-99-030-260319（结算单）,GYSHT-20260319-002,材料合同,-123490.7200,note.amount_trace,0.0,0.0
5227,b5a80802e56a4c619fb13676816afb59,DYS2022-99-004-0215,GYSHT-20231110-003,材料合同,-178300.0000,note.amount_trace,0.0,0.0
3929,749f8bc369ff4f1ea06fff868148e9e0,DYS2022-99-013-23-0313,GYSHT-20231110-003,材料合同,-182040.0000,note.amount_trace,0.0,0.0
3691,690c337946ce4626888f84f1f6b46c5c,DYS2022-99-001-260319（结算单）,GYSHT-20260319-010,其他合同,-20226.0000,note.amount_trace,0.0,0.0
3642,669b9fd0c3f44b1ca4be07f832ee641e,DYS2022-99-032-260319（结算单）,GYSHT-20260319-007,劳务合同,-358642.3600,note.amount_trace,0.0,0.0
3500,5ff47823d84a42af9a0f2175577ef128,DYS2022-99-007-260319（结算单）,GYSHT-20260319-010,材料合同,-410280.7700,note.amount_trace,0.0,0.0
3264,54c5428276824a8eadddbe1f8a212efd,DYS2022-99-003-260319（结算单）,GYSHT-20260319-008,材料合同,-620437.9500,note.amount_trace,0.0,0.0
2901,423d87ba7de84b8a9d6b0815e2952e46,DYS2022-99-036-26319（结算单）,GYSHT-20260319-011,分包合同,-831721.5100,note.amount_trace,0.0,0.0
2630,34a394c1c3af4e70a0c26580e634314e,DYS2022-99-037-260319（结算单）,GYSHT-20260319-006,材料合同,-10000.0000,note.amount_trace,0.0,0.0
2522,2f9418cfd84f425ca9140e4f1d43e7ab,DYS2022-99-028-230816,GYSHT-20231110-003,材料合同,-394481.0000,note.amount_trace,0.0,0.0
2519,2f70a501f81f44eababb818998c8c974,DYS2022-99-034-260319（结算单）,GYSHT-20260319-004,材料合同,-114000.0000,note.amount_trace,0.0,0.0
2065,197a5c26a3624b09927f412e3cbd15a0,DYS2022-99-025-260319（结算单）,GYSHT-20260319-009,材料合同,-262820.0000,note.amount_trace,0.0,0.0
4926,a5ba61634831411ea0d3d94948e079f8,DYS2023-165-007-240322（4,GYSHT-20240327-002,材料合同,-4148200.0000,note.amount_trace,0.0,0.0
3289,56066ecb4fe347cfb7cc94a7354913f8,DYS2022-92-011-230510,GYSHT-20231117-003,材料合同,-127000.0000,note.amount_trace,0.0,0.0
4301,86e3a1934c804424a3f1ffc81005240b,dys2024-245-001-241223（2）,GYSHT-20250114-002,租赁合同,-194400.0000,note.amount_trace,0.0,0.0
4197,81803118eacb4898bd9bbdcc8ed0ea27,MYS2023-115-004-231215（以结算单录入）,GYSHT-20260327-003,劳务合同,-539432.6300,note.amount_trace,0.0,0.0
5885,d5ec18d5585d4ee89f46f83b0b04de40,XJ2023-123-012-240112(扫描件),GYSHT-20240118-001,租赁合同,-92700.0000,note.amount_trace,0.0,0.0
2866,4084ac41391b4461b4f4002428e03c20,CQS2022-54-003-0202,GYSHT-20231120-003,材料合同,-249750.0000,note.amount_trace,0.0,0.0
2655,35b4bf8c2a7d4180a85c9b910e1034dc,CQS2022-54-005-0209,GYSHT-20231120-004,租赁合同,-240000.0000,note.amount_trace,0.0,0.0
5621,c9105749d27e4c9585921b9684d2b39d,CQS2023-19-002-230414（1,GYSHT-20230926-002,材料合同,-653640.0000,note.amount_trace,0.0,0.0
2146,1cd2dd54cb974c2d8eaab88e36c524e7,CQS2023-19-001-0302（2,GYSHT-20230926-002,材料合同,-1048510.0000,note.amount_trace,0.0,0.0
4259,848617daf4614e6c87c45be42c47ec1b,DYS2023-17-032-230908(4,GYSHT-20231221-002,材料合同,-63986.7800,note.amount_trace,0.0,0.0
2486,2e0a274d5b584c36a5b01e5f0edb4726,024-240417、022-240410,GYSHT-20240419-005,材料合同,-275000.0000,note.amount_trace,0.0,0.0
5623,c92bc71bc4af47ccbdb60f3429e1a05b,结算单,GYSHT-20241021-003,劳务合同,-300000.0000,note.amount_trace,0.0,0.0
2713,38d8556de1604778a4d0ead6adb4352b,MYS2022-40-012-0816,GYSHT-20240205-002,劳务合同,-210746.0000,note.amount_trace,0.0,0.0
6578,f6d36b95122c43a5ac896241788cfd85,CQS2022-63-005-1117,GYSHT-20230927-004,材料合同,-156292.5000,note.amount_trace,0.0,0.0
5953,d8cf2a2ee51c4660b6d76aed77c0b734,CQS2022-63-015-230411,GYSHT-20230927-004,材料合同,-115777.5600,note.amount_trace,0.0,0.0
5520,c3e475c91cfe4967a6a6254a676aa631,CQS2022-63-035-230530,GYSHT-20230927-004,材料合同,-127861.2000,note.amount_trace,0.0,0.0
5232,b5d9928139784ce59e39a3a2bffc9c6c,CQS2022-63-013-230403,GYSHT-20231012-003,材料合同,-74013.5400,note.amount_trace,0.0,0.0
3785,6d9610e59362414e9f79e7d96c0b5581,CQS2022-63-055-230904(2,GYSHT-20230927-004,材料合同,-170765.0000,note.amount_trace,0.0,0.0
2967,4586effde016438ba00262532d232a30,CQS22022-63-044-230710,GYSHT-20230927-004,材料合同,-7200.0000,note.amount_trace,0.0,0.0
6067,dd693159b29040fe9f670414ce9f64b3,CQS2022-100-003-0109,GYSHT-20240207-004,材料合同,-1425000.0000,note.amount_trace,0.0,0.0
4563,93ad1d083b854a709823eba985dc441d,CQS2022-100-002-1219,GYSHT-20240206-003,分包合同,-1679950.0000,note.amount_trace,0.0,0.0
3705,69584730d4984d059a350262d1f63822,CQS2022-100-001-1219,GYSHT-20240425-002,租赁合同,-531451.3800,note.amount_trace,0.0,0.0
1778,0c9964482ffb453ba9d806255a941410,DYS2020-02-086-1104,GYSHT-20211104-002,正常合同,-5891.4100,note.amount_trace,0.0,0.0
3329,576c6cbf3e6c4599a9326a3ae38cb123,20250120-8,GYSHT-20250120-014,分包合同,-274843.9400,note.amount_trace,0.0,0.0
4506,9111b3f07ba1441fa5e61dce49043e9b,GAS2022-26-023-240105（1）,GYSHT-20240407-001,材料合同,-810909.0000,note.amount_trace,0.0,0.0
2960,454cde4587a047ac9cf1f5b88d7c1587,GAS2022-26-037-240321,GYSHT-20240329-004,材料合同,-80000.0000,note.amount_trace,0.0,0.0
5194,b3fd137d919d4a87a7b8741f14fa8f10,NCS2021-10-017-0303,GYSHT-20240419-001,材料合同,-208939.6000,note.amount_trace,0.0,0.0
6478,f17c1212b30f41a89e585a0b9dad217d,DYS2021-53-039-1206,GYSHT-20240513-005,材料合同,-205367.0000,note.amount_trace,0.0,0.0
6330,ead98fed961b4fc2a8437bb9b9e7d76f,DYS2021-53-057-230724,GYSHT-20240513-005,材料合同,-3484947.9500,note.amount_trace,0.0,0.0
5057,ace90f14d4a3470da0caf18186eb58e8,DYS2021-53-044-230411,GYSHT-20240513-005,材料合同,-523696.9300,note.amount_trace,0.0,0.0
4650,98033b9e3a2a403793a6a0102dc920ec,DYS2021-53-031-1011,GYSHT-20240513-004,材料合同,-363318.9300,note.amount_trace,0.0,0.0
4420,8d0506dd44af4e6cab4fd02e67d85e38,DYS2021-53-061-230804,GYSHT-20240520-002,材料合同,-300000.0000,note.amount_trace,0.0,0.0
3694,6926bebbd5484965b2969e7d8ad32a18,DYS2021-53-055-230710,GYSHT-20240513-003,材料合同,-14900.0000,note.amount_trace,0.0,0.0
3340,57e5a0ed86f543b6b6f356e7e3cf6232,DYS2021-53-034-1017,GYSHT-20240513-004,材料合同,-2641.2000,note.amount_trace,0.0,0.0
