payment_request_id,external_id,old_state,new_state,old_validation_status,new_validation_status,ledger_amount,business_fact
47,legacy_outflow_sc_0131a251efaf43cdaa9753d62da29ac7,approved,done,no,validated,36840.0000,historical_paid_by_downstream_business_fact
48,legacy_outflow_sc_0132878ec035425497d35ea07cb312e2,approved,done,no,validated,7671.0000,historical_paid_by_downstream_business_fact
49,legacy_outflow_sc_013552c944944dd79727610752093a1b,approved,done,no,validated,1200000.0000,historical_paid_by_downstream_business_fact
50,legacy_outflow_sc_013f917bd62f4626974ebc7e39174f68,approved,done,no,validated,300000.0000,historical_paid_by_downstream_business_fact
51,legacy_outflow_sc_013fe8c6caec422d98ba0cb7a65a3ed8,approved,done,no,validated,32996.0000,historical_paid_by_downstream_business_fact
52,legacy_outflow_sc_0141959f1e9249fc9316c0f514557298,approved,done,no,validated,106962.4100,historical_paid_by_downstream_business_fact
53,legacy_outflow_sc_0141afb6d63c481496ea149483f69f33,approved,done,no,validated,359425.0000,historical_paid_by_downstream_business_fact
54,legacy_outflow_sc_0141b0e2d5a243358f8ad18c950b0c83,approved,done,no,validated,12600.0000,historical_paid_by_downstream_business_fact
55,legacy_outflow_sc_0146ed706005498d806f52f6ae775181,approved,done,no,validated,30000.0000,historical_paid_by_downstream_business_fact
56,legacy_outflow_sc_014dbf90dfe94b3b8266b4f6c0f104b9,approved,done,no,validated,245800.0000,historical_paid_by_downstream_business_fact
57,legacy_outflow_sc_0152863c0b4345bc891a454b33513eb7,approved,done,no,validated,3465.0000,historical_paid_by_downstream_business_fact
58,legacy_outflow_sc_0155589eb5ca4bfe837fd03968e628b2,approved,done,no,validated,21389.0700,historical_paid_by_downstream_business_fact
59,legacy_outflow_sc_0157b91aadf8444f9064376081e534ad,approved,done,no,validated,5100.0000,historical_paid_by_downstream_business_fact
60,legacy_outflow_sc_015c553823db4bc789ea105402a5af53,approved,done,no,validated,3000.0000,historical_paid_by_downstream_business_fact
61,legacy_outflow_sc_015d47f87d494caeaf41766983231211,approved,done,no,validated,160827.0000,historical_paid_by_downstream_business_fact
62,legacy_outflow_sc_0163ff03c1f647938d662157fa31a30c,approved,done,no,validated,400000.0000,historical_paid_by_downstream_business_fact
63,legacy_outflow_sc_01642516dde6401388ced6151f6cfd15,approved,done,no,validated,200283.0000,historical_paid_by_downstream_business_fact
64,legacy_outflow_sc_0165f32ae3a34a328be492264a685115,approved,done,no,validated,61495.0000,historical_paid_by_downstream_business_fact
65,legacy_outflow_sc_016ab3b19b544e679b0109df062d7f78,approved,done,no,validated,173389.0000,historical_paid_by_downstream_business_fact
66,legacy_outflow_sc_016ef158d96144fd8936b62c476f7837,approved,done,no,validated,39520.0000,historical_paid_by_downstream_business_fact
67,legacy_outflow_sc_017021b031a54a2f836d09e058c45e5f,approved,done,no,validated,5340.8400,historical_paid_by_downstream_business_fact
68,legacy_outflow_sc_0174346f2b8545e999010a287ae80ab8,approved,done,no,validated,3700.0000,historical_paid_by_downstream_business_fact
69,legacy_outflow_sc_017502497a234d0aadef42bcefaab1ba,approved,done,no,validated,16859.0000,historical_paid_by_downstream_business_fact
70,legacy_outflow_sc_01762c01b2de495bb0824539c06bcac8,approved,done,no,validated,9768.0000,historical_paid_by_downstream_business_fact
71,legacy_outflow_sc_0178bc1c14a947988eb32a1a884af526,approved,done,no,validated,94489.0000,historical_paid_by_downstream_business_fact
72,legacy_outflow_sc_017d007a8dc84fb39ca2e9022d52fa4b,approved,done,no,validated,50000.0000,historical_paid_by_downstream_business_fact
73,legacy_outflow_sc_0180ec0f04954251af121459506feb8d,approved,done,no,validated,50310.0000,historical_paid_by_downstream_business_fact
74,legacy_outflow_sc_0188719f01274a7cb9b49b3c65cae719,approved,done,no,validated,1252.0000,historical_paid_by_downstream_business_fact
75,legacy_outflow_sc_018bbef0fac24ef499ecfa1050831d36,approved,done,no,validated,90000.0000,historical_paid_by_downstream_business_fact
76,legacy_outflow_sc_018c271c9dcd4b3886161d687698461e,approved,done,no,validated,93500.0000,historical_paid_by_downstream_business_fact
77,legacy_outflow_sc_01906b8530944397a7595828eaefe9a9,approved,done,no,validated,3372.0000,historical_paid_by_downstream_business_fact
78,legacy_outflow_sc_0196460a0af945f980c85f19dda793c4,approved,done,no,validated,100000.0000,historical_paid_by_downstream_business_fact
79,legacy_outflow_sc_01983a7d2bc849ffba5e9bc9b5b69baa,approved,done,no,validated,23375.0000,historical_paid_by_downstream_business_fact
80,legacy_outflow_sc_019a04ae4e104818b2797ef96610be71,approved,done,no,validated,219500.0000,historical_paid_by_downstream_business_fact
81,legacy_outflow_sc_01a73d87df7446368a781c1e5f96aeb8,approved,done,no,validated,9636.0000,historical_paid_by_downstream_business_fact
82,legacy_outflow_sc_01b5617d73414ee18dd995fad2ed766e,approved,done,no,validated,100000.0000,historical_paid_by_downstream_business_fact
83,legacy_outflow_sc_01b7a68857044a6e83909b463fb06a96,approved,done,no,validated,66243.7900,historical_paid_by_downstream_business_fact
84,legacy_outflow_sc_01b7e9edd5df4199b0f65e6d726e235b,approved,done,no,validated,16700.0000,historical_paid_by_downstream_business_fact
85,legacy_outflow_sc_01be5cb6656f4671b60ba25a1e1d7f96,approved,done,no,validated,26257.0000,historical_paid_by_downstream_business_fact
86,legacy_outflow_sc_01c1776aa5594838bfe1506c03495a1a,approved,done,no,validated,702.3000,historical_paid_by_downstream_business_fact
87,legacy_outflow_sc_01c9dea29af74ff49e6ef934226a41c8,approved,done,no,validated,32335.6000,historical_paid_by_downstream_business_fact
88,legacy_outflow_sc_01d1ee0138fb41c6a04ff63bc5dc8f12,approved,done,no,validated,150000.0000,historical_paid_by_downstream_business_fact
89,legacy_outflow_sc_01d467ccd0b841fc94b7a27a2a05de2e,approved,done,no,validated,1040000.0000,historical_paid_by_downstream_business_fact
90,legacy_outflow_sc_01dca46926d0439b831aa5d0c47256fa,approved,done,no,validated,99600.0000,historical_paid_by_downstream_business_fact
91,legacy_outflow_sc_01dd43ca0f7047a5a0b4537b5791e33a,approved,done,no,validated,8076.7400,historical_paid_by_downstream_business_fact
92,legacy_outflow_sc_01e3a998debd4718a629a5c1df5333de,approved,done,no,validated,40000.0000,historical_paid_by_downstream_business_fact
93,legacy_outflow_sc_01edb7fc07314eb4a14e5d730db2677f,approved,done,no,validated,600000.0000,historical_paid_by_downstream_business_fact
94,legacy_outflow_sc_01edcc2ae9494ab9b632deb70473d101,approved,done,no,validated,7650.0000,historical_paid_by_downstream_business_fact
95,legacy_outflow_sc_01fbea6ed1bf4b2e9fba2d3188720ce8,approved,done,no,validated,5840.0000,historical_paid_by_downstream_business_fact
96,legacy_outflow_sc_01fcf727e09b4490a7b9be8a0898605d,approved,done,no,validated,90000.0000,historical_paid_by_downstream_business_fact
97,legacy_outflow_sc_01ffc072414341f58d54ff76f1eb0b57,approved,done,no,validated,700000.0000,historical_paid_by_downstream_business_fact
98,legacy_outflow_sc_0201d68f0cfa47d780be0f6b5247fc93,approved,done,no,validated,13670.0000,historical_paid_by_downstream_business_fact
99,legacy_outflow_sc_020238a3a1264bc69c49765d122ef950,approved,done,no,validated,41626.0000,historical_paid_by_downstream_business_fact
100,legacy_outflow_sc_02041064007a4fa2bbf4bb2ddd2278fb,approved,done,no,validated,50040.0000,historical_paid_by_downstream_business_fact
101,legacy_outflow_sc_020982a0ed5947bc9350584d70e73b7b,approved,done,no,validated,367859.0000,historical_paid_by_downstream_business_fact
102,legacy_outflow_sc_020c1fe41e6446b985cd2094404a6a0c,approved,done,no,validated,199800.0000,historical_paid_by_downstream_business_fact
103,legacy_outflow_sc_0219859f7f5747f395abb1447c2645b5,approved,done,no,validated,50000.0000,historical_paid_by_downstream_business_fact
104,legacy_outflow_sc_021d8c060f60400cbd7049a0394d4bb9,approved,done,no,validated,31010.0000,historical_paid_by_downstream_business_fact
105,legacy_outflow_sc_0230396e10f345ee84d9236a4ec34680,approved,done,no,validated,50000.0000,historical_paid_by_downstream_business_fact
106,legacy_outflow_sc_0231dfc6b2044aac9e743fcc88c6ad84,approved,done,no,validated,3198.5000,historical_paid_by_downstream_business_fact
107,legacy_outflow_sc_0239f2e9addb42b8a7fa94df9634075b,approved,done,no,validated,25803.0000,historical_paid_by_downstream_business_fact
109,legacy_outflow_sc_023d54d28440405ca220ee530e1c1b5c,approved,done,no,validated,958793.6900,historical_paid_by_downstream_business_fact
110,legacy_outflow_sc_023d9b970ac14ff6b5edf2c23d6a34b2,approved,done,no,validated,2675.0000,historical_paid_by_downstream_business_fact
111,legacy_outflow_sc_023f6dbebce74ea48477dc961a8b0db6,approved,done,no,validated,6000.0000,historical_paid_by_downstream_business_fact
112,legacy_outflow_sc_0243ff32563347748e73440e216a6f3e,approved,done,no,validated,20700.0000,historical_paid_by_downstream_business_fact
113,legacy_outflow_sc_024f6c473cae43aba4dd610ef994c3b2,approved,done,no,validated,34292.8000,historical_paid_by_downstream_business_fact
114,legacy_outflow_sc_025bce2609eb4573a12f745f44099c76,approved,done,no,validated,90050.0000,historical_paid_by_downstream_business_fact
115,legacy_outflow_sc_025e224f5b17455ea10abd970e6b3f78,approved,done,no,validated,111675.0000,historical_paid_by_downstream_business_fact
116,legacy_outflow_sc_025eb6684be840718588a9a2e012e622,approved,done,no,validated,2443325.8000,historical_paid_by_downstream_business_fact
117,legacy_outflow_sc_025fc0c3a77a471ca4cf1e2d56569697,approved,done,no,validated,1760.0000,historical_paid_by_downstream_business_fact
118,legacy_outflow_sc_02641c96961341588bab928c8e6ca542,approved,done,no,validated,93275.0000,historical_paid_by_downstream_business_fact
119,legacy_outflow_sc_02669e28930548d3a62c57d8db041145,approved,done,no,validated,183674.0000,historical_paid_by_downstream_business_fact
120,legacy_outflow_sc_026894f758c1401d96ba690165cf4883,approved,done,no,validated,122290.0000,historical_paid_by_downstream_business_fact
121,legacy_outflow_sc_02750ac700bc4a6d855254b378a3c229,approved,done,no,validated,100000.0000,historical_paid_by_downstream_business_fact
122,legacy_outflow_sc_02766712d2a442658101fd746892aed0,approved,done,no,validated,81700.0000,historical_paid_by_downstream_business_fact
123,legacy_outflow_sc_027771e21db246188c0eb8c6786d2c8f,approved,done,no,validated,64500.0000,historical_paid_by_downstream_business_fact
124,legacy_outflow_sc_027814c531994d1d89d96bdef758aa6a,approved,done,no,validated,16600.0000,historical_paid_by_downstream_business_fact
125,legacy_outflow_sc_027fcdb1346a4b0a8cc58bb73a6ffeaf,approved,done,no,validated,16000.0000,historical_paid_by_downstream_business_fact
126,legacy_outflow_sc_02807e44c789495bbd006566a29d4a13,approved,done,no,validated,7952.7000,historical_paid_by_downstream_business_fact
127,legacy_outflow_sc_028c5a4b8abf478aad40ae63d07caa71,approved,done,no,validated,410949.0000,historical_paid_by_downstream_business_fact
128,legacy_outflow_sc_0291dd0b2545443ab9f2d1e91546808a,approved,done,no,validated,40919.8700,historical_paid_by_downstream_business_fact
129,legacy_outflow_sc_02a3df90afb14c2482b0dbc94b00e15e,approved,done,no,validated,53600.0000,historical_paid_by_downstream_business_fact
130,legacy_outflow_sc_02a66a0f214041e0a51454c05e69bf20,approved,done,no,validated,9359.0000,historical_paid_by_downstream_business_fact
131,legacy_outflow_sc_02a9369aa32c4b2b8b458d314f30d467,approved,done,no,validated,95000.0000,historical_paid_by_downstream_business_fact
132,legacy_outflow_sc_02a9919769914a8686e3c2513cd7a66d,approved,done,no,validated,793000.0000,historical_paid_by_downstream_business_fact
133,legacy_outflow_sc_02b4690bc30c43a1b237ab2fa6859917,approved,done,no,validated,140.0000,historical_paid_by_downstream_business_fact
134,legacy_outflow_sc_02b8e73bc20f4b92a3339d76f2935957,approved,done,no,validated,86000.0000,historical_paid_by_downstream_business_fact
135,legacy_outflow_sc_02b97fae682c4c9b9263ed8e04967be8,approved,done,no,validated,150000.0000,historical_paid_by_downstream_business_fact
136,legacy_outflow_sc_02bbddac80f541558160e9e8177b79b5,approved,done,no,validated,32500.0000,historical_paid_by_downstream_business_fact
137,legacy_outflow_sc_02c470968851431c8b52ac78db9877c1,approved,done,no,validated,50000.0000,historical_paid_by_downstream_business_fact
138,legacy_outflow_sc_02cb01fb30a14674bc4f5f3023403ef7,approved,done,no,validated,1082.9600,historical_paid_by_downstream_business_fact
139,legacy_outflow_sc_02cda1fd3e3140d88aba5214265bd517,approved,done,no,validated,54013.4200,historical_paid_by_downstream_business_fact
140,legacy_outflow_sc_02d1bf9610984d4c955c82d1f6be27cf,approved,done,no,validated,105250.0000,historical_paid_by_downstream_business_fact
141,legacy_outflow_sc_02d28d13fcaa4e8ab56eef34bae6cb4c,approved,done,no,validated,73797.1100,historical_paid_by_downstream_business_fact
142,legacy_outflow_sc_02d8a48de6364adc9d8d67ab1f89ba09,approved,done,no,validated,7963.6000,historical_paid_by_downstream_business_fact
143,legacy_outflow_sc_02db5b2533504dcb9542f32ebc019366,approved,done,no,validated,50000.0000,historical_paid_by_downstream_business_fact
144,legacy_outflow_sc_02dbc7f17bff4f50abd4a134e4df61c3,approved,done,no,validated,198000.0000,historical_paid_by_downstream_business_fact
145,legacy_outflow_sc_02e3717a4b1e4f0393300305a9f64ddf,approved,done,no,validated,3412.2500,historical_paid_by_downstream_business_fact
146,legacy_outflow_sc_02e9965cc58e4fe9bb4c514d009e2d8b,approved,done,no,validated,115829.2000,historical_paid_by_downstream_business_fact
147,legacy_outflow_sc_02eac09f19964507bb3ecf1456887058,approved,done,no,validated,150000.0000,historical_paid_by_downstream_business_fact
148,legacy_outflow_sc_02f029905aa34236822d5696a515a637,approved,done,no,validated,4809.1200,historical_paid_by_downstream_business_fact
149,legacy_outflow_sc_02f4b69f3e724315a22b786d251ea4da,approved,done,no,validated,215000.0000,historical_paid_by_downstream_business_fact
150,legacy_outflow_sc_030016348741498194cbb4dd8f2274e1,approved,done,no,validated,43215.0000,historical_paid_by_downstream_business_fact
151,legacy_outflow_sc_03010a660c0d42a6b03382cef86b231c,approved,done,no,validated,7099.0000,historical_paid_by_downstream_business_fact
152,legacy_outflow_sc_03077b658eda4d16a05c3605501e9923,approved,done,no,validated,13800.0000,historical_paid_by_downstream_business_fact
153,legacy_outflow_sc_030c9ded664d41e0827bcb79c003aaf8,approved,done,no,validated,253105.5800,historical_paid_by_downstream_business_fact
154,legacy_outflow_sc_031431a6cd6c4608af2c76b3b03bc022,approved,done,no,validated,50000.0000,historical_paid_by_downstream_business_fact
155,legacy_outflow_sc_0315a5cf44ae4d76a39e9b03b0f4e564,approved,done,no,validated,381017.4900,historical_paid_by_downstream_business_fact
156,legacy_outflow_sc_03205517e04d4e86879177934e4e17c6,approved,done,no,validated,60771.7100,historical_paid_by_downstream_business_fact
157,legacy_outflow_sc_0321609b0d24414fa33593590df8a7f2,approved,done,no,validated,45000.0000,historical_paid_by_downstream_business_fact
158,legacy_outflow_sc_0323f6e7a12946a793faed52f059490b,approved,done,no,validated,100000.0000,historical_paid_by_downstream_business_fact
159,legacy_outflow_sc_0328edae0f444090a4c33ac470ad9031,approved,done,no,validated,2690.0000,historical_paid_by_downstream_business_fact
160,legacy_outflow_sc_03297d3af2824c8bbe9571dfb243d863,approved,done,no,validated,33775.0000,historical_paid_by_downstream_business_fact
161,legacy_outflow_sc_032dc5c127b7472ba5840aa9e965a366,approved,done,no,validated,216000.0000,historical_paid_by_downstream_business_fact
162,legacy_outflow_sc_032f4ade07644aadaa06e1cb57283f78,approved,done,no,validated,80434.2500,historical_paid_by_downstream_business_fact
163,legacy_outflow_sc_032f610922344c2da18fe1ff48bb8ade,approved,done,no,validated,40000.0000,historical_paid_by_downstream_business_fact
164,legacy_outflow_sc_033443c7b29b463ba785d07284070949,approved,done,no,validated,100000.0000,historical_paid_by_downstream_business_fact
165,legacy_outflow_sc_033765a69b9b4d36a9214e189749c01d,approved,done,no,validated,31450.0000,historical_paid_by_downstream_business_fact
166,legacy_outflow_sc_03420fa8a4c8437899d22537c5a44867,approved,done,no,validated,42020.0000,historical_paid_by_downstream_business_fact
167,legacy_outflow_sc_0346e33491e0450bb01d5d4c79e7ee80,approved,done,no,validated,2410140.0000,historical_paid_by_downstream_business_fact
168,legacy_outflow_sc_03484ea838874ee0a5521e7629977edd,approved,done,no,validated,47519.0900,historical_paid_by_downstream_business_fact
169,legacy_outflow_sc_03568c8acad747f19337034792c8f4f6,approved,done,no,validated,50000.0000,historical_paid_by_downstream_business_fact
170,legacy_outflow_sc_035f57a28f474bdb91f70cc31c623148,approved,done,no,validated,1880.0000,historical_paid_by_downstream_business_fact
172,legacy_outflow_sc_0367aa1374844e159a2cacb14fad5d12,approved,done,no,validated,7100.0000,historical_paid_by_downstream_business_fact
173,legacy_outflow_sc_036928f7058e4b1fa30be4962fddd18e,approved,done,no,validated,68700.0000,historical_paid_by_downstream_business_fact
174,legacy_outflow_sc_036b55d45df44ea5bc9b96063ee51a40,approved,done,no,validated,161750.0000,historical_paid_by_downstream_business_fact
175,legacy_outflow_sc_036e9ddaf55e42c2aa2985c62653fe0a,approved,done,no,validated,1000.0000,historical_paid_by_downstream_business_fact
176,legacy_outflow_sc_0372c520c86544ebb238afc6debb9cda,approved,done,no,validated,59790.4400,historical_paid_by_downstream_business_fact
177,legacy_outflow_sc_0379d1a6a88845fc8372a2a788ff5f8b,approved,done,no,validated,50006.0000,historical_paid_by_downstream_business_fact
178,legacy_outflow_sc_037a5c9a0c054064abb31f14ef851b4e,approved,done,no,validated,40000.0000,historical_paid_by_downstream_business_fact
179,legacy_outflow_sc_037c11b351674587909e9d71c54848c2,approved,done,no,validated,100000.0000,historical_paid_by_downstream_business_fact
180,legacy_outflow_sc_03804a8b8c374c3396a0b8fa9735e989,approved,done,no,validated,1300000.0000,historical_paid_by_downstream_business_fact
181,legacy_outflow_sc_0388f91f1883489cb9374d38d7ffaecc,approved,done,no,validated,5000.0000,historical_paid_by_downstream_business_fact
182,legacy_outflow_sc_03897d92fff240438a7709b1474ff8dc,approved,done,no,validated,24732.0000,historical_paid_by_downstream_business_fact
183,legacy_outflow_sc_038da99d1fc0484fae424aeb744a02f8,approved,done,no,validated,30000.0000,historical_paid_by_downstream_business_fact
184,legacy_outflow_sc_0392b3ea2df8498baf67b83e9aa96b6d,approved,done,no,validated,54778.0000,historical_paid_by_downstream_business_fact
185,legacy_outflow_sc_039a3c9eb30b491fad212e4b5cc2b40e,approved,done,no,validated,33000.0000,historical_paid_by_downstream_business_fact
186,legacy_outflow_sc_039d5dd4a5b64083a79eec6a39b71d51,approved,done,no,validated,41385.0000,historical_paid_by_downstream_business_fact
187,legacy_outflow_sc_03a5d739712544d18f72f311de6a7f76,approved,done,no,validated,22400.0000,historical_paid_by_downstream_business_fact
188,legacy_outflow_sc_03a69ba3ea0849b48ee277efc0edf937,approved,done,no,validated,8000.0000,historical_paid_by_downstream_business_fact
189,legacy_outflow_sc_03ab375e042342ad89d14a6e313f4d74,approved,done,no,validated,200000.0000,historical_paid_by_downstream_business_fact
190,legacy_outflow_sc_03ae3702afe143cf9316eef8b3dab45c,approved,done,no,validated,446.8800,historical_paid_by_downstream_business_fact
191,legacy_outflow_sc_03bac4559c024100bf72a93f4d8b15dc,approved,done,no,validated,188183.3600,historical_paid_by_downstream_business_fact
192,legacy_outflow_sc_03c39315e9c74771a617a4d759f3da20,approved,done,no,validated,40000.0000,historical_paid_by_downstream_business_fact
193,legacy_outflow_sc_03c5319842ea4495881b9499a765613e,approved,done,no,validated,149404.2400,historical_paid_by_downstream_business_fact
194,legacy_outflow_sc_03c82638f46b44cdb180ba2baa075afc,approved,done,no,validated,36746.0000,historical_paid_by_downstream_business_fact
195,legacy_outflow_sc_03cb4f421372401baac236cca34b7662,approved,done,no,validated,57700.0000,historical_paid_by_downstream_business_fact
196,legacy_outflow_sc_03d0218d14e5482baa2606e69abae823,approved,done,no,validated,826135.5000,historical_paid_by_downstream_business_fact
197,legacy_outflow_sc_03d51f221d3f4097903f7f6b9624be9e,approved,done,no,validated,13640.0000,historical_paid_by_downstream_business_fact
198,legacy_outflow_sc_03d5c89dd92c488d96af90daf30e48cf,approved,done,no,validated,162398.0700,historical_paid_by_downstream_business_fact
199,legacy_outflow_sc_03e861b22c12465ba05aaa9f3d0f71ca,approved,done,no,validated,73894.0000,historical_paid_by_downstream_business_fact
200,legacy_outflow_sc_03eb3c77aed4429aaf51d070059d7104,approved,done,no,validated,88750.0000,historical_paid_by_downstream_business_fact
201,legacy_outflow_sc_0401f2dddce74667909760bab29cb558,approved,done,no,validated,892440.0000,historical_paid_by_downstream_business_fact
202,legacy_outflow_sc_040e0fc5c5db4fa5ad3682c121d62d76,approved,done,no,validated,13.0000,historical_paid_by_downstream_business_fact
203,legacy_outflow_sc_0417f0cf21654972816bdb620e50d2ba,approved,done,no,validated,5490.0000,historical_paid_by_downstream_business_fact
204,legacy_outflow_sc_041e725e078440e29318415c54eb7d1a,approved,done,no,validated,8186.0000,historical_paid_by_downstream_business_fact
205,legacy_outflow_sc_04243ccee8554fce8a00f20e0ac18783,approved,done,no,validated,1281420.0000,historical_paid_by_downstream_business_fact
206,legacy_outflow_sc_042875bd92cf4a12ab5a3ef3cddda6ce,approved,done,no,validated,97500.0000,historical_paid_by_downstream_business_fact
207,legacy_outflow_sc_042948ed022a4e63b5a7e1c646ea4330,approved,done,no,validated,100000.0000,historical_paid_by_downstream_business_fact
208,legacy_outflow_sc_04336993e2014814b1ba7efd6763cdec,approved,done,no,validated,159342.3900,historical_paid_by_downstream_business_fact
