surface_id,role,navigation_path,title,route,menu_xmlid,action_xmlid,model,page_type,actual_component,reachable,load_result,write_capable,screenshot,notes
"FE-AUD-demo_role_finance-19","demo_role_finance","系统菜单 / 财务中心 / 付款管理 / 往来单位付款","业务动作 - 智能施工企业管理平台","/a/878?menu_id=607","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-019.png",""
"FE-AUD-demo_role_finance-20","demo_role_finance","系统菜单 / 财务中心 / 费用与保证金 / 费用报销单","业务动作 - 智能施工企业管理平台","/a/858?menu_id=366","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-020.png",""
"FE-AUD-demo_role_finance-21","demo_role_finance","系统菜单 / 财务中心 / 费用与保证金 / 投标保证金支付","业务动作 - 智能施工企业管理平台","/a/885?menu_id=630","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-021.png",""
"FE-AUD-demo_role_finance-22","demo_role_finance","系统菜单 / 财务中心 / 费用与保证金 / 投标保证金退回","业务动作 - 智能施工企业管理平台","/a/886?menu_id=631","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-022.png",""
"FE-AUD-demo_role_finance-23","demo_role_finance","系统菜单 / 财务中心 / 费用与保证金 / 合同保证金支付","业务动作 - 智能施工企业管理平台","/a/887?menu_id=632","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-023.png",""
"FE-AUD-demo_role_finance-24","demo_role_finance","系统菜单 / 财务中心 / 费用与保证金 / 合同保证金退回","业务动作 - 智能施工企业管理平台","/a/888?menu_id=633","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-024.png",""
"FE-AUD-demo_role_finance-25","demo_role_finance","系统菜单 / 财务中心 / 费用与保证金 / 扣款实缴登记","业务动作 - 智能施工企业管理平台","/a/866?menu_id=613","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_finance-025.png",""
"FE-AUD-demo_role_finance-26","demo_role_finance","系统菜单 / 财务中心 / 费用与保证金 / 扣款实缴退回","业务动作 - 智能施工企业管理平台","/a/867?menu_id=614","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-026.png",""
"FE-AUD-demo_role_finance-27","demo_role_finance","系统菜单 / 财务中心 / 结算管理 / 结算单","业务动作 - 智能施工企业管理平台","/a/749?menu_id=387","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-027.png",""
"FE-AUD-demo_role_finance-28","demo_role_finance","系统菜单 / 财务中心 / 结算管理 / 结算调整","业务动作 - 智能施工企业管理平台","/a/748?menu_id=388","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-028.png",""
"FE-AUD-demo_role_finance-29","demo_role_finance","系统菜单 / 财务中心 / 资金分析 / 项目资金总览","业务动作 - 智能施工企业管理平台","/a/775?menu_id=399","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-029.png",""
"FE-AUD-demo_role_finance-30","demo_role_finance","系统菜单 / 财务中心 / 资金分析 / 往来对象资金总览","业务动作 - 智能施工企业管理平台","/a/777?menu_id=400","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-030.png",""
"FE-AUD-demo_role_finance-31","demo_role_finance","系统菜单 / 财务中心 / 资金分析 / 项目与对象资金往来报表","业务动作 - 智能施工企业管理平台","/a/776?menu_id=401","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-031.png",""
"FE-AUD-demo_role_finance-32","demo_role_finance","系统菜单 / 财务中心 / 资金分析 / 公司-承包人资金责任余额","业务动作 - 智能施工企业管理平台","/a/779?menu_id=403","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-032.png",""
"FE-AUD-demo_role_finance-33","demo_role_finance","系统菜单 / 财务中心 / 资金分析 / 公司-承包人资金责任明细","业务动作 - 智能施工企业管理平台","/a/778?menu_id=402","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-033.png",""
"FE-AUD-demo_role_finance-34","demo_role_finance","系统菜单 / 财务中心 / 扣款与非现金 / 扣款登记","业务动作 - 智能施工企业管理平台","/a/865?menu_id=612","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_finance-034.png",""
"FE-AUD-demo_role_finance-35","demo_role_finance","系统菜单 / 财务中心 / 费用/保证金现金办理 / 报销申请","业务动作 - 智能施工企业管理平台","/a/859?menu_id=627","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-035.png",""
"FE-AUD-demo_role_finance-36","demo_role_finance","系统菜单 / 财务中心 / 费用/保证金现金办理 / 项目费用报销单","业务动作 - 智能施工企业管理平台","/a/868?menu_id=628","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-036.png",""
"FE-AUD-demo_role_finance-37","demo_role_finance","系统菜单 / 财务中心 / 自筹资金 / 自筹垫付收入","业务动作 - 智能施工企业管理平台","/a/704?menu_id=602","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-037.png",""
"FE-AUD-demo_role_finance-38","demo_role_finance","系统菜单 / 财务中心 / 自筹资金 / 自筹退回","业务动作 - 智能施工企业管理平台","/a/705?menu_id=603","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-038.png",""
"FE-AUD-demo_role_finance-39","demo_role_finance","系统菜单 / 税务中心 / 进项发票","业务动作 - 智能施工企业管理平台","/a/851?menu_id=578","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-039.png",""
"FE-AUD-demo_role_finance-40","demo_role_finance","系统菜单 / 税务中心 / 预缴税款","业务动作 - 智能施工企业管理平台","/a/854?menu_id=582","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-040.png",""
"FE-AUD-demo_role_finance-41","demo_role_finance","系统菜单 / 税务中心 / 销项开票申请","业务动作 - 智能施工企业管理平台","/a/852?menu_id=580","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_finance-041.png",""
"FE-AUD-demo_role_finance-42","demo_role_finance","系统菜单 / 税务中心 / 销项开票登记","业务动作 - 智能施工企业管理平台","/a/853?menu_id=581","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_finance-042.png",""
"FE-AUD-demo_role_finance-43","demo_role_finance","系统菜单 / 税务中心 / 抵扣登记","业务动作 - 智能施工企业管理平台","/a/856?menu_id=584","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_finance-043.png",""
"FE-AUD-demo_role_finance-44","demo_role_finance","系统菜单 / 税务中心 / 外经证登记","业务动作 - 智能施工企业管理平台","/a/857?menu_id=585","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_finance-044.png",""
"FE-AUD-demo_role_project_a_member-1","demo_role_project_a_member","系统菜单 / 项目中心 / 项目台账","业务动作 - 智能施工企业管理平台","/a/521?menu_id=411","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-001.png",""
"FE-AUD-demo_role_project_a_member-2","demo_role_project_a_member","系统菜单 / 项目中心 / 投标报名管理","业务动作 - 智能施工企业管理平台","/a/588?menu_id=512","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-002.png",""
"FE-AUD-demo_role_project_a_member-3","demo_role_project_a_member","系统菜单 / 合同中心 / 合同管理 / 一般合同（公司）","业务动作 - 智能施工企业管理平台","/a/743?menu_id=383","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-003.png",""
"FE-AUD-demo_role_project_a_member-4","demo_role_project_a_member","系统菜单 / 合同中心 / 合同管理 / 施工合同","业务动作 - 智能施工企业管理平台","/a/600?menu_id=421","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-004.png",""
"FE-AUD-demo_role_project_a_member-5","demo_role_project_a_member","系统菜单 / 施工管理 / 计划进度 / 计划管理","业务动作 - 智能施工企业管理平台","/a/725?menu_id=567","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-005.png",""
"FE-AUD-demo_role_project_a_member-6","demo_role_project_a_member","系统菜单 / 施工管理 / 计划进度 / 计划汇报","业务动作 - 智能施工企业管理平台","/a/726?menu_id=568","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-006.png",""
"FE-AUD-demo_role_project_a_member-7","demo_role_project_a_member","系统菜单 / 施工管理 / 施工日志","业务动作 - 智能施工企业管理平台","/a/793?menu_id=448","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-007.png",""
"FE-AUD-demo_role_project_a_member-8","demo_role_project_a_member","系统菜单 / 财务中心 / 收款管理 / 收款申请","业务动作 - 智能施工企业管理平台","/a/746?menu_id=385","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-008.png",""
"FE-AUD-demo_role_project_a_member-9","demo_role_project_a_member","系统菜单 / 财务中心 / 收款管理 / 收款登记","业务动作 - 智能施工企业管理平台","/a/699?menu_id=368","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_project_a_member-009.png",""
"FE-AUD-demo_role_project_a_member-10","demo_role_project_a_member","系统菜单 / 财务中心 / 收款管理 / 收入","业务动作 - 智能施工企业管理平台","/a/873?menu_id=591","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-010.png",""
"FE-AUD-demo_role_project_a_member-11","demo_role_project_a_member","系统菜单 / 财务中心 / 收款管理 / 工程进度款收入登记","业务动作 - 智能施工企业管理平台","/a/874?menu_id=592","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_project_a_member-011.png",""
"FE-AUD-demo_role_project_a_member-12","demo_role_project_a_member","系统菜单 / 财务中心 / 借还款 / 借款申请","业务动作 - 智能施工企业管理平台","/a/870?menu_id=595","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-012.png",""
"FE-AUD-demo_role_project_a_member-13","demo_role_project_a_member","系统菜单 / 财务中心 / 借还款 / 还款登记","业务动作 - 智能施工企业管理平台","/a/862?menu_id=596","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_project_a_member-013.png",""
"FE-AUD-demo_role_project_a_member-14","demo_role_project_a_member","系统菜单 / 财务中心 / 借还款 / 承包人还项目款","业务动作 - 智能施工企业管理平台","/a/863?menu_id=598","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-014.png",""
"FE-AUD-demo_role_project_a_member-15","demo_role_project_a_member","系统菜单 / 财务中心 / 借还款 / 承包人借项目款","业务动作 - 智能施工企业管理平台","/a/871?menu_id=599","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-015.png",""
"FE-AUD-demo_role_project_a_member-16","demo_role_project_a_member","系统菜单 / 财务中心 / 借还款 / 项目借公司款登记","业务动作 - 智能施工企业管理平台","/a/872?menu_id=600","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_project_a_member-016.png",""
"FE-AUD-demo_role_project_a_member-17","demo_role_project_a_member","系统菜单 / 财务中心 / 借还款 / 项目还公司款登记","业务动作 - 智能施工企业管理平台","/a/864?menu_id=601","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_project_a_member-017.png",""
"FE-AUD-demo_role_project_a_member-18","demo_role_project_a_member","系统菜单 / 财务中心 / 账户资金 / 资金对账","业务动作 - 智能施工企业管理平台","/a/698?menu_id=367","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-018.png",""
"FE-AUD-demo_role_project_a_member-19","demo_role_project_a_member","系统菜单 / 财务中心 / 账户资金 / 资金日报表","业务动作 - 智能施工企业管理平台","/a/881?menu_id=620","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-019.png",""
"FE-AUD-demo_role_project_a_member-20","demo_role_project_a_member","系统菜单 / 财务中心 / 账户资金 / 账户间资金往来","业务动作 - 智能施工企业管理平台","/a/879?menu_id=616","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-020.png",""
"FE-AUD-demo_role_project_a_member-21","demo_role_project_a_member","系统菜单 / 财务中心 / 付款管理 / 实付登记","业务动作 - 智能施工企业管理平台","/a/910?menu_id=369","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_project_a_member-021.png",""
"FE-AUD-demo_role_project_a_member-22","demo_role_project_a_member","系统菜单 / 财务中心 / 付款管理 / 公司财务支出","业务动作 - 智能施工企业管理平台","/a/875?menu_id=593","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-022.png",""
"FE-AUD-demo_role_project_a_member-23","demo_role_project_a_member","系统菜单 / 财务中心 / 付款管理 / 支付申请","业务动作 - 智能施工企业管理平台","/a/876?menu_id=606","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-023.png",""
"FE-AUD-demo_role_project_a_member-24","demo_role_project_a_member","系统菜单 / 财务中心 / 付款管理 / 往来单位付款","业务动作 - 智能施工企业管理平台","/a/878?menu_id=607","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-024.png",""
"FE-AUD-demo_role_project_a_member-25","demo_role_project_a_member","系统菜单 / 财务中心 / 费用与保证金 / 费用报销单","业务动作 - 智能施工企业管理平台","/a/858?menu_id=366","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-025.png",""
"FE-AUD-demo_role_project_a_member-26","demo_role_project_a_member","系统菜单 / 财务中心 / 费用与保证金 / 投标保证金支付","业务动作 - 智能施工企业管理平台","/a/885?menu_id=630","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-026.png",""
"FE-AUD-demo_role_project_a_member-27","demo_role_project_a_member","系统菜单 / 财务中心 / 费用与保证金 / 投标保证金退回","业务动作 - 智能施工企业管理平台","/a/886?menu_id=631","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-027.png",""
"FE-AUD-demo_role_project_a_member-28","demo_role_project_a_member","系统菜单 / 财务中心 / 费用与保证金 / 合同保证金支付","业务动作 - 智能施工企业管理平台","/a/887?menu_id=632","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-028.png",""
"FE-AUD-demo_role_project_a_member-29","demo_role_project_a_member","系统菜单 / 财务中心 / 费用与保证金 / 合同保证金退回","业务动作 - 智能施工企业管理平台","/a/888?menu_id=633","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-029.png",""
"FE-AUD-demo_role_project_a_member-30","demo_role_project_a_member","系统菜单 / 财务中心 / 费用与保证金 / 扣款实缴登记","业务动作 - 智能施工企业管理平台","/a/866?menu_id=613","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_project_a_member-030.png",""
"FE-AUD-demo_role_project_a_member-31","demo_role_project_a_member","系统菜单 / 财务中心 / 费用与保证金 / 扣款实缴退回","业务动作 - 智能施工企业管理平台","/a/867?menu_id=614","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-031.png",""
"FE-AUD-demo_role_project_a_member-32","demo_role_project_a_member","系统菜单 / 财务中心 / 结算管理 / 结算单","业务动作 - 智能施工企业管理平台","/a/749?menu_id=387","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-032.png",""
"FE-AUD-demo_role_project_a_member-33","demo_role_project_a_member","系统菜单 / 财务中心 / 结算管理 / 结算调整","业务动作 - 智能施工企业管理平台","/a/748?menu_id=388","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-033.png",""
"FE-AUD-demo_role_project_a_member-34","demo_role_project_a_member","系统菜单 / 财务中心 / 扣款与非现金 / 扣款登记","业务动作 - 智能施工企业管理平台","/a/865?menu_id=612","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_project_a_member-034.png",""
"FE-AUD-demo_role_project_a_member-35","demo_role_project_a_member","系统菜单 / 财务中心 / 费用/保证金现金办理 / 报销申请","业务动作 - 智能施工企业管理平台","/a/859?menu_id=627","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-035.png",""
"FE-AUD-demo_role_project_a_member-36","demo_role_project_a_member","系统菜单 / 财务中心 / 自筹资金 / 自筹垫付收入","业务动作 - 智能施工企业管理平台","/a/704?menu_id=602","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-036.png",""
"FE-AUD-demo_role_project_a_member-37","demo_role_project_a_member","系统菜单 / 财务中心 / 自筹资金 / 自筹退回","业务动作 - 智能施工企业管理平台","/a/705?menu_id=603","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-037.png",""
"FE-AUD-demo_role_project_a_member-38","demo_role_project_a_member","系统菜单 / 人事行政 / 行政审批 / 印章使用审批表","业务动作 - 智能施工企业管理平台","/a/717?menu_id=374","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_project_a_member-038.png",""
"FE-AUD-demo_role_project_a_member-39","demo_role_project_a_member","系统菜单 / 人事行政 / 薪资福利 / 奖金","业务动作 - 智能施工企业管理平台","/a/722?menu_id=379","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-039.png",""
"FE-AUD-demo_role_project_a_member-40","demo_role_project_a_member","系统菜单 / 人事行政 / 请假/休假审批单","业务动作 - 智能施工企业管理平台","/a/716?menu_id=373","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_project_a_member-040.png",""
"FE-AUD-demo_role_project_a_member-41","demo_role_project_a_member","系统菜单 / 人事行政 / 社保人员登记","业务动作 - 智能施工企业管理平台","/a/718?menu_id=375","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_project_a_member-041.png",""
"FE-AUD-demo_role_project_a_member-42","demo_role_project_a_member","系统菜单 / 人事行政 / 社保登记","业务动作 - 智能施工企业管理平台","/a/719?menu_id=376","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_project_a_member-042.png",""
"FE-AUD-demo_role_project_a_member-43","demo_role_project_a_member","系统菜单 / 人事行政 / 补助","业务动作 - 智能施工企业管理平台","/a/720?menu_id=378","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-043.png",""
"FE-AUD-demo_role_project_a_member-44","demo_role_project_a_member","系统菜单 / 资料证照 / 证照管理 / 证照登记","业务动作 - 智能施工企业管理平台","/a/723?menu_id=381","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_project_a_member-044.png",""
"FE-AUD-demo_role_project_a_member-45","demo_role_project_a_member","系统菜单 / 资料证照 / 资料借阅 / 借阅申请","业务动作 - 智能施工企业管理平台","/a/724?menu_id=382","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-045.png",""
"FE-AUD-demo_role_project_a_member-46","demo_role_project_a_member","系统菜单 / 资料证照 / 公司资料存档","业务动作 - 智能施工企业管理平台","/a/685?menu_id=358","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-046.png",""
"FE-AUD-demo_role_project_a_member-47","demo_role_project_a_member","系统菜单 / 税务中心 / 预缴税款","业务动作 - 智能施工企业管理平台","/a/854?menu_id=582","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-047.png",""
"FE-AUD-demo_role_project_a_member-48","demo_role_project_a_member","系统菜单 / 税务中心 / 销项开票申请","业务动作 - 智能施工企业管理平台","/a/852?menu_id=580","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","false","artifacts/frontend-audit/demo_role_project_a_member-048.png",""
"FE-AUD-demo_role_project_a_member-49","demo_role_project_a_member","系统菜单 / 税务中心 / 销项开票登记","业务动作 - 智能施工企业管理平台","/a/853?menu_id=581","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_project_a_member-049.png",""
"FE-AUD-demo_role_project_a_member-50","demo_role_project_a_member","系统菜单 / 税务中心 / 抵扣登记","业务动作 - 智能施工企业管理平台","/a/856?menu_id=584","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_project_a_member-050.png",""
"FE-AUD-demo_role_project_a_member-51","demo_role_project_a_member","系统菜单 / 税务中心 / 外经证登记","业务动作 - 智能施工企业管理平台","/a/857?menu_id=585","","","","list","ActionViewShell.vue → ListPage.vue","true","ok","true","artifacts/frontend-audit/demo_role_project_a_member-051.png",""
