legacy_record_id                                                                                                                                                                                                                                                	DJBH                                                                                                                                                                                                                                                            	DJZT                                                                                                                                                                                                                                                            	DJRQ                                                                                                                                                                                                                                                            	XM                                                                                                                                                                                                                                                              	RYLX                                                                                                                                                                                                                                                            	SFZHM                                                                                                                                                                                                                                                           	LXFS                                                                                                                                                                                                                                                            	ZSFY                                                                                                                                                                                                                                                            	SBJS                                                                                                                                                                                                                                                            	ZS                                                                                                                                                                                                                                                              	XMMC                                                                                                                                                                                                                                                            	RYZT                                                                                                                                                                                                                                                            	BZ                                                                                                                                                                                                                                                              	LRR                                                                                                                                                                                                                                                             	LRSJ                                                                                                                                                                                                                                                            
3f639844d8624faaa936df2bd0d678bf                                                                                                                                                                                                                                	SBRY-20240116-002                                                                                                                                                                                                                                               	0                                                                                                                                                                                                                                                               	2024-01-16T00:00:00                                                                                                                                                                                                                                             	凌林                                                                                                                                                                                                                                                              	员工                                                                                                                                                                                                                                                              	510602198710270817                                                                                                                                                                                                                                              	13568239242                                                                                                                                                                                                                                                     	0.0000                                                                                                                                                                                                                                                          	1612.6800                                                                                                                                                                                                                                                       	四川保盛建设集团有限公司                                                                                                                                                                                                                                                    	公司综合平台                                                                                                                                                                                                                                                          	启用                                                                                                                                                                                                                                                              	                                                                                                                                                                                                                                                                	徐丹                                                                                                                                                                                                                                                              	2024-01-16T11:14:22                                                                                                                                                                                                                                             
42076498027947269d597573b9b4d5d6                                                                                                                                                                                                                                	SBRY-20240115-015                                                                                                                                                                                                                                               	0                                                                                                                                                                                                                                                               	2024-01-15T00:00:00                                                                                                                                                                                                                                             	杨永田                                                                                                                                                                                                                                                             	证书挂靠                                                                                                                                                                                                                                                            	510603198404100496                                                                                                                                                                                                                                              	13668309283                                                                                                                                                                                                                                                     	0.0000                                                                                                                                                                                                                                                          	1592.0400                                                                                                                                                                                                                                                       	四川翔驰恒瑞商贸有限公司                                                                                                                                                                                                                                                    	公司综合平台                                                                                                                                                                                                                                                          	启用                                                                                                                                                                                                                                                              	未签聘用合同                                                                                                                                                                                                                                                          	徐丹                                                                                                                                                                                                                                                              	2024-01-15T16:07:36                                                                                                                                                                                                                                             
46712550178d4400af4a620c3226894f                                                                                                                                                                                                                                	SBRY-20241012-001                                                                                                                                                                                                                                               	0                                                                                                                                                                                                                                                               	2024-10-12T00:00:00                                                                                                                                                                                                                                             	工伤                                                                                                                                                                                                                                                              	员工                                                                                                                                                                                                                                                              	111                                                                                                                                                                                                                                                             	111                                                                                                                                                                                                                                                             	                                                                                                                                                                                                                                                                	234.5600                                                                                                                                                                                                                                                        	四川迈投建筑工程有限公司                                                                                                                                                                                                                                                    	公司综合平台                                                                                                                                                                                                                                                          	启用                                                                                                                                                                                                                                                              	                                                                                                                                                                                                                                                                	陈天友                                                                                                                                                                                                                                                             	2024-10-12T15:39:19                                                                                                                                                                                                                                             
4772b9f8dad940a09af8228d1b113545                                                                                                                                                                                                                                	SBRY-20240115-029                                                                                                                                                                                                                                               	0                                                                                                                                                                                                                                                               	2024-01-15T00:00:00                                                                                                                                                                                                                                             	李娟                                                                                                                                                                                                                                                              	证书挂靠                                                                                                                                                                                                                                                            	510603198506087827                                                                                                                                                                                                                                              	13778209231                                                                                                                                                                                                                                                     	8000.0000                                                                                                                                                                                                                                                       	1485.6700                                                                                                                                                                                                                                                       	四川保盛建设集团有限公司成都分公司                                                                                                                                                                                                                                               	公司综合平台                                                                                                                                                                                                                                                          	禁用                                                                                                                                                                                                                                                              	聘用到期时间：2024.5.31                                                                                                                                                                                                                                                	徐丹                                                                                                                                                                                                                                                              	2024-01-15T17:02:06                                                                                                                                                                                                                                             
491cca59317b47c8926e6a16827edefc                                                                                                                                                                                                                                	SBRY-20240228-001                                                                                                                                                                                                                                               	0                                                                                                                                                                                                                                                               	2024-04-12T00:00:00                                                                                                                                                                                                                                             	大病医疗保险                                                                                                                                                                                                                                                          	员工                                                                                                                                                                                                                                                              	1                                                                                                                                                                                                                                                               	1                                                                                                                                                                                                                                                               	0.0000                                                                                                                                                                                                                                                          	628.1100                                                                                                                                                                                                                                                        	四川保盛建设集团有限公司成都分公司                                                                                                                                                                                                                                               	公司综合平台                                                                                                                                                                                                                                                          	启用                                                                                                                                                                                                                                                              	                                                                                                                                                                                                                                                                	徐丹                                                                                                                                                                                                                                                              	2024-02-28T14:04:54                                                                                                                                                                                                                                             
491fe4883c014e9db19873e2d27980ca                                                                                                                                                                                                                                	SBRY-20240912-001                                                                                                                                                                                                                                               	0                                                                                                                                                                                                                                                               	2024-09-12T00:00:00                                                                                                                                                                                                                                             	补扣2024年1-8月社保调增费用                                                                                                                                                                                                                                               	员工                                                                                                                                                                                                                                                              	111                                                                                                                                                                                                                                                             	111                                                                                                                                                                                                                                                             	                                                                                                                                                                                                                                                                	6472.3200                                                                                                                                                                                                                                                       	四川保盛建设集团有限公司成都分公司                                                                                                                                                                                                                                               	公司综合平台                                                                                                                                                                                                                                                          	启用                                                                                                                                                                                                                                                              	                                                                                                                                                                                                                                                                	徐丹                                                                                                                                                                                                                                                              	2024-09-12T16:51:14                                                                                                                                                                                                                                             
49791dfd02f044ec836eb99ae4e44c58                                                                                                                                                                                                                                	SBRY-20240115-024                                                                                                                                                                                                                                               	0                                                                                                                                                                                                                                                               	2024-01-15T00:00:00                                                                                                                                                                                                                                             	黄晓蝶                                                                                                                                                                                                                                                             	个人挂靠                                                                                                                                                                                                                                                            	 51100219970820782X                                                                                                                                                                                                                                             	18848211728                                                                                                                                                                                                                                                     	4000.0000                                                                                                                                                                                                                                                       	1644.7900                                                                                                                                                                                                                                                       	四川保盛建设集团有限公司成都分公司                                                                                                                                                                                                                                               	公司综合平台                                                                                                                                                                                                                                                          	启用                                                                                                                                                                                                                                                              	聘用到期时间：2024.7.11                                                                                                                                                                                                                                                	徐丹                                                                                                                                                                                                                                                              	2024-01-15T16:49:29                                                                                                                                                                                                                                             
4b35c3085f93404a867118fd9f7897fb                                                                                                                                                                                                                                	SBRY-20240607-001                                                                                                                                                                                                                                               	0                                                                                                                                                                                                                                                               	2024-06-07T00:00:00                                                                                                                                                                                                                                             	王诗淼                                                                                                                                                                                                                                                             	个人挂靠                                                                                                                                                                                                                                                            	510603200103186492                                                                                                                                                                                                                                              	13508019611                                                                                                                                                                                                                                                     	                                                                                                                                                                                                                                                                	1612.6800                                                                                                                                                                                                                                                       	四川保盛建设集团有限公司                                                                                                                                                                                                                                                    	公司综合平台                                                                                                                                                                                                                                                          	启用                                                                                                                                                                                                                                                              	王东儿子，参保时间：2024年7月                                                                                                                                                                                                                                               	徐丹                                                                                                                                                                                                                                                              	2024-06-07T14:04:49                                                                                                                                                                                                                                             
4b3d1d3c07d84f129c9faaa937d23bc6                                                                                                                                                                                                                                	SBRY-20240116-019                                                                                                                                                                                                                                               	0                                                                                                                                                                                                                                                               	2024-01-16T00:00:00                                                                                                                                                                                                                                             	倪德模                                                                                                                                                                                                                                                             	员工                                                                                                                                                                                                                                                              	510602197805311699                                                                                                                                                                                                                                              	13550604210                                                                                                                                                                                                                                                     	0.0000                                                                                                                                                                                                                                                          	1642.5000                                                                                                                                                                                                                                                       	四川迈投建筑工程有限公司                                                                                                                                                                                                                                                    	公司综合平台                                                                                                                                                                                                                                                          	启用                                                                                                                                                                                                                                                              	                                                                                                                                                                                                                                                                	徐丹                                                                                                                                                                                                                                                              	2024-01-16T14:29:40                                                                                                                                                                                                                                             
4b8e6dce41d744a384c9a366e0a73c7d                                                                                                                                                                                                                                	SBRY-20240116-014                                                                                                                                                                                                                                               	0                                                                                                                                                                                                                                                               	2024-01-16T00:00:00                                                                                                                                                                                                                                             	李林旭                                                                                                                                                                                                                                                             	员工                                                                                                                                                                                                                                                              	511129199707184246                                                                                                                                                                                                                                              	15282889978                                                                                                                                                                                                                                                     	0.0000                                                                                                                                                                                                                                                          	1612.6800                                                                                                                                                                                                                                                       	四川保盛建设集团有限公司                                                                                                                                                                                                                                                    	公司综合平台                                                                                                                                                                                                                                                          	启用                                                                                                                                                                                                                                                              	                                                                                                                                                                                                                                                                	徐丹                                                                                                                                                                                                                                                              	2024-01-16T11:55:56                                                                                                                                                                                                                                             
4ca6a9b278364b1db1e26baef2cb86b3                                                                                                                                                                                                                                	SBRY-20251016-010                                                                                                                                                                                                                                               	0                                                                                                                                                                                                                                                               	2025-10-16T00:00:00                                                                                                                                                                                                                                             	臻合商贸补缴                                                                                                                                                                                                                                                          	员工                                                                                                                                                                                                                                                              	1                                                                                                                                                                                                                                                               	1                                                                                                                                                                                                                                                               	                                                                                                                                                                                                                                                                	117.3600                                                                                                                                                                                                                                                        	德阳市臻合商贸有限公司                                                                                                                                                                                                                                                     	公司综合平台                                                                                                                                                                                                                                                          	启用                                                                                                                                                                                                                                                              	                                                                                                                                                                                                                                                                	陈天友                                                                                                                                                                                                                                                             	2025-10-16T11:29:06                                                                                                                                                                                                                                             
